tmdb_film_id,iso_639_1,,,
9992,en,,,
9993,en,,,
9993,vi,,,
10018,de,,,
10045,fr,,,
10051,en,,,
10051,fr,,,
10133,en,,,
10139,en,,,
10147,en,,,
10147,pl,,,
10161,en,,,
10166,en,,,
10183,en,,,
10183,fr,,,
10183,ur,,,
10183,zh,,,
10217,en,,,
10217,es,,,
10227,de,,,
10227,en,,,
10227,fr,,,
10238,sv,,,
10242,en,,,
10279,en,,,
10279,es,,,
10279,it,,,
10291,es,,,
10305,fr,,,
10313,en,,,
10315,en,,,
10316,en,,,
10331,en,,,
10360,en,,,
10363,en,,,
10363,fr,,,
10363,it,,,
10363,en,,,
10363,fr,,,
10363,it,,,
10373,en,,,
10376,en,,,
10376,fr,,,
10386,en,,,
10386,es,,,
10387,zh,,,
10388,en,,,
10388,fr,,,
10389,en,,,
10389,th,,,
10389,zh,,,
10399,en,,,
10400,en,,,
10401,fr,,,
10401,it,,,
10437,en,,,
10437,hu,,,
10475,en,,,
10480,en,,,
10480,es,,,
10490,en,,,
10494,en,,,
10494,fr,,,
10494,it,,,
10494,ja,,,
10500,de,,,
10503,en,,,
10515,ja,,,
10531,en,,,
10548,en,,,
10557,en,,,
10557,ru,,,
10557,ur,,,
10569,en,,,
10575,en,,,
10575,it,,,
10608,en,,,
10613,en,,,
10613,fr,,,
10633,en,,,
10656,fr,,,
10656,ru,,,
10679,de,,,
10679,en,,,
10697,fr,,,
10700,en,,,
10700,ru,,,
10700,sw,,,
10707,en,,,
10707,fr,,,
10712,en,,,
10719,en,,,
10722,es,,,
10728,de,,,
10743,en,,,
10744,en,,,
10758,en,,,
10763,en,,,
10775,cn,,,
10778,en,,,
10784,de,,,
10784,en,,,
10784,fr,,,
10784,he,,,
10793,de,,,
10795,fr,,,
10795,ru,,,
10809,es,,,
10810,es,,,
10818,fr,,,
10822,en,,,
10834,de,,,
10834,en,,,
10856,en,,,
10856,es,,,
10857,en,,,
10867,it,,,
10873,de,,,
10873,en,,,
10876,en,,,
10888,ar,,,
10888,fr,,,
10907,en,,,
10913,en,,,
10930,fr,,,
10930,fr,,,
10935,de,,,
10935,en,,,
10935,fr,,,
10935,pl,,,
10935,ru,,,
10944,en,,,
10949,en,,,
10989,en,,,
10989,is,,,
10997,zh,,,
11013,en,,,
11019,en,,,
11023,en,,,
11023,es,,,
11023,pt,,,
11031,en,,,
11042,en,,,
11042,fr,,,
11049,en,,,
11051,en,,,
11057,de,,,
11075,ja,,,
11083,no,,,
11083,sv,,,
11104,cn,,,
11104,zh,,,
11109,en,,,
11121,en,,,
11129,en,,,
11148,es,,,
11156,en,,,
11156,fr,,,
11167,en,,,
11167,it,,,
11171,en,,,
11178,en,,,
11178,ko,,,
11190,ru,,,
11194,en,,,
11197,fi,,,
11197,sv,,,
11215,en,,,
11216,en,,,
11216,it,,,
11216,pt,,,
11220,cn,,,
11222,de,,,
11222,en,,,
11222,es,,,
11225,en,,,
11225,fr,,,
11225,la,,,
11225,pl,,,
11227,es,,,
11227,fr,,,
11240,en,,,
11252,en,,,
11299,de,,,
11299,fr,,,
11299,it,,,
11299,ja,,,
11315,ja,,,
11316,en,,,
11322,en,,,
11332,de,,,
11332,en,,,
11332,it,,,
11332,ja,,,
11332,la,,,
11332,ru,,,
11368,en,,,
11374,en,,,
11399,fr,,,
11420,en,,,
11421,fr,,,
11423,en,,,
11423,ko,,,
11424,en,,,
11426,en,,,
11426,es,,,
11439,en,,,
11439,fr,,,
11444,es,,,
11444,fr,,,
11444,pl,,,
11445,en,,,
11447,it,,,
11447,la,,,
11477,es,,,
11481,en,,,
11482,en,,,
11482,fr,,,
11489,fr,,,
11490,fr,,,
11492,zh,,,
11499,en,,,
11499,es,,,
11502,pl,,,
11516,en,,,
11516,fr,,,
11516,en,,,
11516,fr,,,
11533,en,,,
11533,es,,,
11533,fr,,,
11536,en,,,
11545,en,,,
11545,la,,,
11554,zh,,,
11556,de,,,
11556,es,,,
11559,en,,,
11577,en,,,
11599,zh,,,
11600,en,,,
11600,es,,,
11606,en,,,
11606,ja,,,
11606,th,,,
11634,sv,,,
11655,en,,,
11655,es,,,
11656,de,,,
11656,sv,,,
11657,fr,,,
11658,ko,,,
11660,en,,,
11671,en,,,
11671,es,,,
11698,de,,,
11698,en,,,
11699,en,,,
11699,es,,,
11705,en,,,
11710,de,,,
11712,ja,,,
11770,cn,,,
11770,zh,,,
11772,en,,,
11779,en,,,
11779,es,,,
11798,en,,,
11799,de,,,
11799,en,,,
11799,es,,,
11799,fr,,,
11801,en,,,
11826,en,,,
11832,da,,,
11832,fr,,,
11832,sv,,,
11832,da,,,
11832,fr,,,
11832,sv,,,
11837,en,,,
11838,ja,,,
11845,en,,,
11848,en,,,
11848,it,,,
11868,en,,,
11878,ja,,,
11881,en,,,
11881,nl,,,
11889,en,,,
11898,en,,,
11900,de,,,
11916,en,,,
11916,es,,,
11916,fr,,,
11928,en,,,
11928,es,,,
11928,fr,,,
11942,en,,,
11942,es,,,
11956,fr,,,
12079,en,,,
12086,es,,,
12090,de,,,
12090,en,,,
12090,fr,,,
12090,it,,,
12093,en,,,
12093,ru,,,
12093,sv,,,
12101,en,,,
12105,en,,,
12112,fr,,,
12130,bn,,,
12130,ms,,,
12130,zh,,,
12140,en,,,
12140,ja,,,
12140,zh,,,
12156,fr,,,
12162,ar,,,
12162,en,,,
12162,tr,,,
12163,en,,,
12165,en,,,
12172,en,,,
12179,en,,,
12198,fr,,,
12205,ja,,,
12206,de,,,
12228,en,,,
12246,mn,,,
12246,zh,,,
12249,de,,,
12249,en,,,
12249,fi,,,
12249,fr,,,
12259,hi,,,
12276,zh,,,
12308,it,,,
12404,en,,,
12405,en,,,
12405,fr,,,
12405,hi,,,
12408,en,,,
12413,es,,,
12429,ja,,,
12433,fr,,,
12454,en,,,
12454,fr,,,
12456,da,,,
12456,en,,,
12456,es,,,
12456,fr,,,
12473,ar,,,
12473,en,,,
12473,fr,,,
12473,ro,,,
