tmdb_film_id,tmdb_person_id,character,,
142,1810,Ennis Del Mar,,
142,1811,Joe Aguirre,,
142,1812,Alma Beers del Mar,,
142,1813,Lureen Newsome,,
142,1814,Jolly Minister,,
142,1815,Waitress,,
142,1816,Timmy,,
142,1817,Cassie Cartwright,,
142,51072,Alma Jr. (Age 19),,
144,2310,Damiel,,
144,2311,Cassiel,,
144,2312,Marion,,
144,2313,"Homer, the old poet",,
144,2314,Peter Falk,,
144,2315,The dying man,,
144,2316,The whore,,
144,2317,The sad man,,
145,1639,Bess McNeill,,
145,1640,Jan Nyman,,
145,1641,Dodo McNeill,,
145,1642,Terry,,
145,1643,Dr. Richardson,,
145,1644,Priest,,
145,1645,Mother,,
145,1646,Sadistic Sailor,,
145,1647,Pits,,
145,1648,Pim,,
145,1649,Chairman,,
145,3913,Grandfather,,
145,3914,An Elder,,
145,3915,Sybilla,,
145,3916,Coroner,,
145,3917,Glasgow Doctor,,
145,3918,Man on Bus,,
145,3919,Man at Lighthouse,,
145,3920,Man on Boat,,
145,3921,Young Sailor,,
146,1339,Jen Yu (Mandarin) / Jiao Long (English),,
146,1619,Master Li Mu Bai,,
146,1620,Yu Shu Lien,,
146,1622,Lo 'Dark Cloud' / Luo Xiao Hu,,
146,1623,Sir Te,,
146,1624,Jade Fox,,
146,1625,Governor Yu,,
146,1626,Bo,,
146,1627,Madame Yu,,
146,1628,Police Inspector Tsai,,
146,1629,May,,
147,1653,Antoine Doinel,,
147,1654,Gilberte Doinel,,
147,1655,Julien Doinel,,
147,1656,French Teacher,,
147,1658,Mr. Bigey,,
147,1659,René,,
147,1660,Director of the school,,
147,1661,Mme Bigey,,
147,1662,English Teacher,,
147,71997,Child,,
147,150939,Child,,
147,1077237,Betrand Mauricet,,
147,1077238,Child,,
147,1077239,Child,,
147,1077240,Child,,
147,1077241,Child,,
147,1077242,Child,,
147,1077243,Child,,
149,1678,Shôtarô Kaneda (voice),,
149,1679,Tetsuo Shima (voice),,
149,1680,Kei (voice),,
149,1681,Ryûsaku (voice),,
149,1682,Nezu (voice),,
149,1683,"Priestess Miyako, Council A (voice)",,
149,1685,Yamagata (voice),,
149,1686,Kai (voice),,
149,1687,Masaru (No. 27) (voice),,
149,1688,Takashi (No. 26) (voice),,
149,1689,Kiyoko (No. 25) (voice),,
149,1314101,Kaori (voice),,
153,1245,Charlotte,,
153,1532,Bob Harris,,
153,1770,Ms. Kawasaki,,
153,1771,John,,
153,1772,Kelly,,
153,1773,Press Agent,,
153,1774,Press Agent,,
153,1775,Press Agent,,
153,1785,Charlie,,
153,1786,Hiroko,,
153,1787,Bambie,,
153,75491,Jazz Singer,,
153,1276607,Commercial Director,,
162,85,Edward Scissorhands,,
162,1902,Peg,,
162,1903,Bill,,
162,1904,Jim,,
162,1905,The Inventor,,
162,1907,Joyce,,
162,1908,Kevin,,
162,1909,Helen,,
162,1910,Marge,,
162,1911,Officer Allen,,
162,1912,Esmeralda,,
162,1913,Tinka,,
162,1914,Cissy,,
162,1915,Host TV,,
162,1916,George,,
162,1920,Kim,,
162,181154,Blonde / TV,,
164,1932,Holly Golightly,,
164,1933,Paul „Fred“ Varjak,,
164,1934,2-E (Mrs. Failenson),,
164,1935,Doc Golightly,,
164,1936,O. J. Berman,,
164,1937,Mr. Yunioshi,,
164,1942,José da Silva Pereira,,
164,1943,Tiffany's salesman,,
164,1944,Sally Tomato,,
164,1945,Mag Wildwood,,
164,1946,Dancer at nightclub,,
164,1947,Rusty Trawler,,
164,1948,Sid Arbuck,,
164,1949,Librarian,,
164,1950,Cat,,
170,2037,Jim,,
170,2038,Selena,,
170,2039,Frank,,
170,2040,Major Henry West,,
170,2050,Mark,,
170,2052,Jim's father,,
170,2054,Jim's mother,,
170,2056,Mr. Bridges,,
170,2057,Mr. Bridges’ Daughter,,
170,2058,Hannah,,
170,2060,Aktivist,,
170,2061,Aktivist,,
170,2063,Aktivist,,
170,2065,Scientist,,
170,2066,Infected Priest,,
170,2258,Seargent Farrell,,
175,1003,Enzo Molinari,,
175,1165,Dr. Laurence,,
175,1642,Jacques Mayol,,
175,2165,Johana Baker,,
175,2166,Novelli,,
175,2168,Uncle Louis,,
175,2170,Roberto,,
175,2171,Duffy,,
175,2172,Priest,,
175,2173,Bonita,,
175,2174,Sally,,
175,2175,Young Jacques,,
175,2180,Young Enzo,,
175,2181,Jacques Father,,
185,694,Dad,,
185,2264,Mr. Alexander,,
185,2265,Mrs. Alexander,,
185,2267,Chief Guard,,
185,2268,Dim,,
185,2270,Georgie,,
185,2271,Pete,,
185,2272,Dr. Brodsky,,
185,2273,Tramp,,
185,2274,Catlady,,
185,2276,Mum,,
185,2278,Mr. P. R. Deltoid,,
185,2279,Prison Chaplain,,
185,2280,Lodger,,
185,2290,Billy Boy (gang leader),,
185,2292,Psychiatrist,,
185,56890,Alexander de Large,,
187,62,Hartigan,,
187,109,Kevin,,
187,147,Bob,,
