event_id,event_director_id,,,
22349,1917,,,
22350,710,,,
22350,1691,,,
22351,1104,,,
22351,1289,,,
22352,2248,,,
22353,1805,,,
22354,1453,,,
22355,376,,,
22356,2098,,,
22357,386,,,
22358,756,,,
22362,772,,,
22363,66,,,
22364,29,,,
22365,328,,,
22366,282,,,
22366,1692,,,
22367,1862,,,
22369,463,,,
22370,1879,,,
22370,2086,,,
22371,415,,,
22373,66,,,
22374,66,,,
22375,66,,,
22376,2013,,,
22377,2399,,,
22378,1946,,,
22379,1342,,,
22380,1842,,,
22382,107,,,
22383,1320,,,
22384,374,,,
22384,439,,,
22385,146,,,
22385,2201,,,
22386,1942,,,
22387,590,,,
22388,590,,,
22389,2295,,,
22390,2295,,,
22391,25,,,
22392,50,,,
22393,936,,,
22394,1253,,,
22394,2029,,,
22395,173,,,
22396,1927,,,
22397,368,,,
22398,458,,,
22399,401,,,
22400,1630,,,
22401,1232,,,
22402,2458,,,
22403,1225,,,
22404,169,,,
22405,24,,,
22405,945,,,
22405,1444,,,
22406,1207,,,
22407,1806,,,
22408,72,,,
22409,1221,,,
22410,15,,,
22411,1842,,,
22412,364,,,
22413,981,,,
22414,895,,,
22415,1217,,,
22415,1438,,,
22417,1146,,,
22418,264,,,
22419,1804,,,
22420,2139,,,
22421,2109,,,
22422,640,,,
22427,25,,,
22428,2166,,,
22429,445,,,
22430,1400,,,
22431,2033,,,
22432,1899,,,
22433,2186,,,
22434,78,,,
22435,938,,,
22436,938,,,
22437,938,,,
22438,938,,,
22442,1616,,,
22443,689,,,
22444,938,,,
22445,938,,,
22447,2225,,,
22449,994,,,
22450,1428,,,
22452,2096,,,
22458,2093,,,
22459,2184,,,
22462,1040,,,
22462,1423,,,
22463,447,,,
22464,2196,,,
22465,443,,,
22466,302,,,
22467,771,,,
22468,782,,,
22469,875,,,
22470,1428,,,
22471,1428,,,
22474,1966,,,
22475,135,,,
22476,1293,,,
22477,2221,,,
22478,470,,,
22479,554,,,
22480,528,,,
22481,177,,,
22482,201,,,
22484,1740,,,
22485,1861,,,
22493,636,,,
22493,1610,,,
22495,1732,,,
22496,1012,,,
22497,152,,,
22498,808,,,
22499,388,,,
22500,92,,,
22501,1012,,,
22502,1846,,,
22503,2404,,,
22504,2404,,,
22505,366,,,
22506,2040,,,
22507,2279,,,
22514,716,,,
22515,716,,,
22516,320,,,
22517,1247,,,
22518,1042,,,
22519,1722,,,
22520,366,,,
22521,1107,,,
22522,1539,,,
22524,1739,,,
22525,1512,,,
22526,992,,,
22527,1537,,,
22528,1042,,,
22530,1042,,,
22531,1712,,,
22532,666,,,
22533,1266,,,
22534,2183,,,
22536,1756,,,
22537,635,,,
22538,1830,,,
22539,972,,,
22539,1759,,,
22540,1830,,,
22541,604,,,
22542,340,,,
22543,2236,,,
22544,743,,,
22545,743,,,
22546,2199,,,
22547,898,,,
22548,1823,,,
22549,2228,,,
22557,886,,,
22558,2367,,,
22559,974,,,
22560,2244,,,
22561,263,,,
22562,407,,,
22562,1505,,,
22563,480,,,
22564,514,,,
22564,2118,,,
22565,1874,,,
22566,545,,,
22567,1865,,,
22569,85,,,
22570,2285,,,
22571,545,,,
22572,1033,,,
22573,503,,,
22574,1147,,,
22575,896,,,
22576,1185,,,
22577,1623,,,
22580,1290,,,
22581,2150,,,
22582,2110,,,
22583,545,,,
22584,545,,,
22585,2077,,,
22587,2419,,,
22588,366,,,
22590,1917,,,
22593,1031,,,
22594,663,,,
22595,1382,,,
22596,213,,,
22598,2273,,,
22599,1344,,,
22600,1044,,,
22601,1921,,,
22602,976,,,
22603,976,,,
22604,976,,,
22605,1910,,,
22606,1047,,,
22607,1794,,,
22608,1012,,,
22609,493,,,
22610,980,,,
22611,331,,,
22612,313,,,
22613,313,,,
22630,587,,,
22631,1368,,,
22632,752,,,
22633,946,,,
22634,1564,,,
22635,1564,,,
22636,1564,,,
