event_id,title,alternative_title,release_year,certificate,languages,duration,country_of_origin,actors,is_live
28041,Khamosh Pani,Silent Waters,2003,12A,"Punjabi, Urdu",99,"Pakistan, France, Denmark","Salman Shahid, Kiron Kher, Arsad Mahmud, Aamir Ali Malik, Aamir",0
28043,Yasmine Kabir Double Bill,,2003,12A,Bengali,54,Bangladesh,,0
28044,An American in Paris,,1951,U,English,113,US,"Leslie Caron, Gene Kelly",0
28046,The Milk of Sorrow,La teta asustada,2009,12A,"Quechua, Spanish",94,"Spain, Peru","Susi Sanchez, Marino Ballon, Magaly Solier, Efrain Solis",0
28051,Sons of Cuba,,2009,12A,English,88,Great Britain,,0
28054,No Greater Love,,2009,U,English,100,Great Britain,,0
28058,Four Lions,,2010,15,English,102,Great Britain,"Riz Ahmed, Nigel Lindsay, Kayvan Novak, Arsher Ali, Adeel Akhtar",0
28074,The Scouting Book for Boys,,2009,15,English,93,Great Britain,"Thomas Turgoose, Steven Mackintosh, Rafe Spall, Holly Grainger",0
28079,City of Life and Death,Nanjing! Nanjing!,2009,15,Mandarin,135,China,"Liu Ye, Gao Yuanyuan, Fan Wei",0
28085,Vincere,,2009,15,Italian,128,Italy,"Giovanna Mezzogiorno, Filippo Timi, Fausto Russo Alesi",0
28091,Eyes Wide Open,,2009,12A,Hebrew,90,"France, Denmark","Zohar Strauss, Tinkerbell Ravit Rozen, Ran Danker",0
28098,American: The Bill Hicks Story,,2009,15,English,110,Great Britain,,0
28105,The Bad Lieutenant,Port of Call: New Orleans,2009,18,English,122,US,"Val Kilmer, Nicholas Cage, Eva Mendes",0
28112,Lebanon,,2009,15,"Arabic, Hebrew",92,"France, Denmark","Zohar Strauss, Yoav Donat, Michael Moshonov, Itay Tiran Oshri Cohen",0
28119,In the Land of the Free,,2010,15,English,84,US,,0
28128,Lan Yu,,2001,18,Mandarin,89,"Hong Kong, China","Su Jin, Liu Ye, Hu Jun",0
28133,Gentlemen Prefer Blondes,,1953,U,English,91,US,"Marilyn Monroe, Jane Russell, Charles Coburn",0
28137,M,,1931,PG,English,118,Denmark,"Peter Lorre, Otto Wernicke, Ellen Widman",0
28141,A Boy Called Dad,,2009,15,English,80,Great Britain,"Steve Evets, Louise Delamere, Kyle Ward, Ian Hart",0
28147,The Time That Remains,Chronicle of a Present Absentee,2009,15,"Arabic, Hebrew",105,"Palestine, France","Shafika Bajjali, Samar Qudha Tanus, Saleh Bakri, Elia Suleiman",0
28159,The Killer Inside Me,,2010,18,English,109,US,"Kate Hudson, Jessica Alba, Casey Affleck",0
28167,The Brothers Bloom,,2008,12A,,114,US,"Robbie Coltrane, Rinko Kikuchi, Rachel Weisz, Mark Ruffalo, Adrien Brody",0
28179,The Brothers Bloom,,2008,12A,English,114,US,"Robbie Coltrane, Rinko Kikuchi, Rachel Weisz, Mark Ruffalo, Adrien Brody",0
28199,Revanche,,2009,15,German,122,Austria,"Ursula Strauss, Johannes Krisch, Irene Potapenko, Andreas Lust",0
28205,Greenberg,,2010,15,English,107,US,"Rhys Ifans, Jennifer Jason Leigh, Greta Gerwig, Ben Stiller",0
28221,Please Give,,2010,15,English,90,US,"Rebecca Hall, Oliver Platt, Catherine Keener, Amanda Peet",0
28236,Wild Grass,Les herbes folles,2009,12A,French,104,France,"Sabine Azéma, Emmanuelle Devos, André Dussollier",0
28249,Whatever Works,,2009,12A,English,91,US,"Woody Allen, Patricia Clarkson, Evan Rachel Wood",0
28264,"Cinema Baghdad, Literary Iraq",,2009,PG,Arabic,69,"Netherlands, Iraq",,0
28266,Green Zone,,2010,15,English,114,"US, Spain, Great Britain, France","Matt Damon, Jason Isaacs, Greg Kinnear, Brendan Gleeson",0
28274,Life After the Fall,,2008,PG,Arabic,100,Iraq,,0
28278,Chocolat,,1988,15,French,105,France,,0
28281,J'ai pas sommeil,I Can’t Sleep,1994,18,French,110,France,"Richard Courcet, Katerina Golubeva, Alex Descas",0
28284,Nénette et Boni,,1996,18,French,103,France,"Vincent Gallo, Grégoire Colin, Alice Houri",0
28290,When You’re Strange,A Film About The Doors,2009,15,English,90,US,,0
28302,White Material,,2009,15,French,100,France,"Isabelle Huppert, Isaach De Bankole, Christopher Lambert",0
28307,Skeletons,,2010,15,"Bulgarian, English",94,Great Britain,"Tuppence Middleton, Paprika Steen, Jason Isaacs, Ed Gaughan, Andrew Buckley",0
28314,Bodyguards and Assassins,,2009,15,"Chinese, Mandarin",135,"Hong Kong, China","Wang Xueqi, Tony Leung Ka-fai, Donnie Yen",0
28319,Lymelife,,2009,15,English,95,US,"Timothy Hutton, Rory Culkin, Cynthia Nixon, Alec Baldwin",0
